"x","y","z"
-83.9986712181,30.3028645625,-999999
-83.9941706585,30.3028645625,-999999
-83.9896700989,30.3028645625,-999999
-83.9851695394,30.3028645625,-999999
-83.9806689798,30.3028645625,-999999
-83.9761684202,30.3028645625,-999999
-83.9716678607,30.3028645625,-999999
-83.9671673011,30.3028645625,-999999
-83.9626667415,30.3028645625,-999999
-83.9581661819,30.3028645625,-999999
-83.9536656224,30.3028645625,-999999
-83.9491650628,30.3028645625,-999999
-83.9446645032,30.3028645625,-999999
-83.9401639436,30.3028645625,-999999
-83.9356633841,30.3028645625,-999999
-83.9311628245,30.3028645625,-999999
-83.9266622649,30.3028645625,-999999
-83.9221617053,30.3028645625,-999999
-83.9176611458,30.3028645625,-999999
-83.9131605862,30.3028645625,-999999
-83.9086600266,30.3028645625,-999999
-83.9041594671,30.3028645625,-999999
-83.8996589075,30.3028645625,-999999
-83.8951583479,30.3028645625,-999999
-83.8906577883,30.3028645625,-999999
-83.8861572288,30.3028645625,-999999
-83.8816566692,30.3028645625,-999999
-83.8771561096,30.3028645625,-999999
-83.8726555500,30.3028645625,-999999
-83.8681549905,30.3028645625,-999999
-83.8636544309,30.3028645625,-999999
-83.8591538713,30.3028645625,-999999
-83.8546533117,30.3028645625,-999999
-83.8501527522,30.3028645625,-999999
-83.8456521926,30.3028645625,-999999
-83.8411516330,30.3028645625,-999999
-83.8366510735,30.3028645625,-999999
-83.8321505139,30.3028645625,-999999
-83.8276499543,30.3028645625,-999999
-83.8231493947,30.3028645625,-999999
-83.8186488352,30.3028645625,-999999
-83.8141482756,30.3028645625,-999999
-83.8096477160,30.3028645625,-999999
-83.8051471564,30.3028645625,-999999
-83.8006465969,30.3028645625,-999999
-83.7961460373,30.3028645625,-999999
-83.7916454777,30.3028645625,-999999
-83.7871449181,30.3028645625,-999999
-83.7826443586,30.3028645625,-999999
-83.7781437990,30.3028645625,-999999
-83.7736432394,30.3028645625,-999999
-83.7691426799,30.3028645625,-999999
-83.7646421203,30.3028645625,-999999
-83.7601415607,30.3028645625,-999999
-83.7556410011,30.3028645625,-999999
-83.7511404416,30.3028645625,-999999
-83.7466398820,30.3028645625,-999999
-83.7421393224,30.3028645625,-999999
-83.7376387628,30.3028645625,-999999
-83.7331382033,30.3028645625,-999999
-83.7286376437,30.3028645625,-999999
-83.7241370841,30.3028645625,-999999
-83.7196365245,30.3028645625,-999999
-83.7151359650,30.3028645625,-999999
-83.7106354054,30.3028645625,-999999
-83.7061348458,30.3028645625,-999999
-83.7016342862,30.3028645625,-999999
-83.6971337267,30.3028645625,-999999
-83.6926331671,30.3028645625,-999999
-83.6881326075,30.3028645625,-999999
-83.6836320480,30.3028645625,-999999
-83.6791314884,30.3028645625,-999999
-83.6746309288,30.3028645625,-999999
-83.6701303692,30.3028645625,-999999
-83.6656298097,30.3028645625,-999999
-83.6611292501,30.3028645625,-999999
-83.6566286905,30.3028645625,-999999
-83.6521281309,30.3028645625,-999999
-83.6476275714,30.3028645625,-999999
-83.6431270118,30.3028645625,-999999
-83.6386264522,30.3028645625,-999999
-83.6341258926,30.3028645625,-999999
-83.6296253331,30.3028645625,-999999
-83.6251247735,30.3028645625,-999999
-83.6206242139,30.3028645625,-999999
-83.6161236544,30.3028645625,-999999
-83.6116230948,30.3028645625,-999999
-83.6071225352,30.3028645625,-999999
-83.6026219756,30.3028645625,-999999
-83.5981214161,30.3028645625,-999999
-83.5936208565,30.3028645625,-999999
-83.5891202969,30.3028645625,-999999
-83.5846197373,30.3028645625,-999999
-83.5801191778,30.3028645625,-999999
-83.5756186182,30.3028645625,-999999
-83.5711180586,30.3028645625,-999999
-83.5666174990,30.3028645625,-999999
-83.5621169395,30.3028645625,-999999
-83.5576163799,30.3028645625,-999999
-83.5531158203,30.3028645625,-999999
-83.5486152608,30.3028645625,-999999
-83.5441147012,30.3028645625,-999999
-83.5396141416,30.3028645625,-999999
